hashtag,count,sentiment,date
#skincare,1,0.9022,2016-03-25
#st,1,-0.5362,2016-03-25
#retrogaming,1,0.1531,2016-03-25
#PatyCantuAN30Abril,5,0.12248,2016-03-25
#IggyAzalea,1,0.0,2016-03-25
#UnidosyOrganizados,1,0.0,2016-03-25
#apple,1,0.0,2016-03-25
#papiymamiatiempocompleto,1,0.0,2016-03-25
#MiSue,1,0.0,2016-03-25
#Mexico,1,-0.5216,2016-03-25
#EnergizaTuConciencia,1,0.0,2016-03-25
#Syria,1,0.0,2016-03-25
#Virginia,1,0.0,2016-03-25
#UptownFunk,355,0.07595859154929584,2016-03-25
#myVR,1,0.0,2016-03-25
#Licensed,1,0.0,2016-03-25
#kattwilliams,1,0.0,2016-03-25
#LIKEMIKE,1,-0.7819,2016-03-25
#PrayForPalestine,1,0.0,2016-03-25
#cruzsexscandal,1,0.0,2016-03-25
#27deabril,1,0.0,2016-03-25
#tournament,1,0.0431,2016-03-25
#business,1,0.0,2016-03-25
#Satchel,1,0.0,2016-03-25
#JFCJustinBieber,3,0.5464000000000001,2016-03-25
#Transito,1,0.0,2016-03-25
#RESCUE,1,-0.7378,2016-03-25
#arteradikalparajesus,1,0.0,2016-03-25
#Faculty,1,0.0,2016-03-25
#runner,1,0.0,2016-03-25
#Smh,1,0.0,2016-03-25
#JoseOrtegayGasset,1,-0.296,2016-03-25
#MANWITHAM,1,0.0,2016-03-25
#BestCover,408,0.08079313725490202,2016-03-25
#NotreDame,3,0.023966666666666653,2016-03-25
#EasterBunny,1,0.0,2016-03-25
#LTE,1,0.0,2016-03-25
#UnDescuidoYSeTerminaLaPatria,1,0.0,2016-03-25
#ConcordPD,1,0.0,2016-03-25
#itirafediyorum,1,0.0,2016-03-25
#Coffee101,1,0.0,2016-03-25
#GoIrish,2,-0.413,2016-03-25
#CANvMEX,1,0.0,2016-03-25
#stronggirls,1,0.8914,2016-03-25
#ViaCrucis,1,0.0,2016-03-25
#VOTA,1,0.2714,2016-03-25
#GuerreroMeEnamora,1,0.0,2016-03-25
#homecooked,1,0.0,2016-03-25
#QuePena,1,0.0,2016-03-25
#RTP1,1,0.0,2016-03-25
#KATTUN,1,0.0,2016-03-25
#PurposeTour,4,0.40347500000000003,2016-03-25
#melaniemartinez,1,0.6103,2016-03-25
#Halo,1,0.0,2016-03-25
#DJ,1,0.0,2016-03-25
#Srhome,1,0.0,2016-03-25
#fotokuapp,1,0.0,2016-03-25
#passbac,1,0.0,2016-03-25
#Assadiqulhaq,1,0.0,2016-03-25
#tech,1,0.0,2016-03-25
#thames,1,0.0,2016-03-25
#android,6,0.0,2016-03-25
#SpreadtheLove,1,0.3612,2016-03-25
#healthylifestyle,1,0.0,2016-03-25
#VULCANOByMiroG,1,0.0,2016-03-25
#bringit,1,0.4404,2016-03-25
#FOLLOWTRICK,2,0.6289,2016-03-25
#shooter,1,0.3147,2016-03-25
#taeyeon,1,0.0,2016-03-25
#makingiliwys,2,0.5654,2016-03-25
#studiopotter,1,0.0,2016-03-25
#igdev,1,0.0,2016-03-25
#Athens,1,0.0,2016-03-25
#ESPN,1,0.0,2016-03-25
#Beasters,1,0.0,2016-03-25
#Contest,1,0.8452,2016-03-25
#yikes,1,0.0,2016-03-25
#LOWLIFE,1,0.0,2016-03-25
#NowPlaying,5,0.12738,2016-03-25
#ciclismo,1,0.0,2016-03-25
#SmartNews,2,0.0,2016-03-25
#NorthCarolina,1,0.296,2016-03-25
#teenporn,1,-0.4926,2016-03-25
#run,1,0.0,2016-03-25
#yoga,1,-0.5423,2016-03-25
#meow,1,0.0,2016-03-25
#thevoice,2,0.4753,2016-03-25
#Illini,1,0.0,2016-03-25
#Gucci,1,0.0,2016-03-25
#FCA,1,0.0,2016-03-25
#CamilaIs,1,0.0,2016-03-25
#tripplanning,1,-0.128,2016-03-25
#LINEN,1,0.0,2016-03-25
#ParisAttack,1,-0.5106,2016-03-25
#AmigosSinceros,1,0.6124,2016-03-25
#TBWorld2016,1,0.5413,2016-03-25
#like,1,0.0,2016-03-25
#noah_ghc,1,0.0,2016-03-25
#AllState,2,0.0,2016-03-25
#doemubjuso_com,1,0.0,2016-03-25
#TarHeelNation,1,0.0,2016-03-25
#KungFuPanda3,1,0.1739,2016-03-25
#teamwayneforlife,1,0.836,2016-03-25
#MSGWishes,1,0.0,2016-03-25
#NOW26,1,0.0,2016-03-25
#batpark,1,0.0,2016-03-25
#makeup,1,0.9022,2016-03-25
#HillaryCli,1,0.0,2016-03-25
#FeelTheBern,3,0.3943666666666667,2016-03-25
#NOTDONEYET,1,0.0,2016-03-25
#yunho,1,0.0,2016-03-25
#oneofmyusedtobetwitterfollower,1,0.0,2016-03-25
#ibabin,1,0.0,2016-03-25
#travel,2,0.33395,2016-03-25
#maimai,1,0.0,2016-03-25
#Cancer,1,-0.8225,2016-03-25
#English,1,0.0,2016-03-25
#Indy,1,0.7096,2016-03-25
#WhiteRoseSoc,1,0.0,2016-03-25
#ceramics,1,0.0,2016-03-25
#HUSL,1,0.3595,2016-03-25
#MEMatSAS,1,0.0,2016-03-25
#5weeksleft,1,-0.34,2016-03-25
#J2150J,1,0.6597,2016-03-25
#indiedev,2,0.07655,2016-03-25
#Eliminatorias,1,0.0,2016-03-25
#hiring,1,0.4753,2016-03-25
#ZippedNews,1,-0.6705,2016-03-25
#Music,1,0.296,2016-03-25
#Oaxaca,1,0.0,2016-03-25
#whyISmoke,1,0.0,2016-03-25
#DJS,1,-0.7819,2016-03-25
#pottery,1,0.0,2016-03-25
#MAGCONWorldWide,1,0.4898,2016-03-25
#ExecutiveOrderDies,1,0.0,2016-03-25
#tourists,1,0.0,2016-03-25
#nba,2,0.11315,2016-03-25
#Adjunct,1,0.0,2016-03-25
#FTL,1,0.2263,2016-03-25
#EsNoticias,1,0.0,2016-03-25
#turbo,1,0.0,2016-03-25
#MindOfMine,3,0.21230000000000002,2016-03-25
#shepreachesgf,1,0.7106,2016-03-25
#docomo,1,0.0,2016-03-25
#otcmarkets,1,0.0,2016-03-25
#suzurijp,1,0.0,2016-03-25
#23pt5,1,0.0,2016-03-25
#GoAztecs,1,0.0,2016-03-25
#SemanaSanta,1,0.0,2016-03-25
#timewarnerbuilding,1,0.0,2016-03-25
#futbolx180,1,0.0,2016-03-25
#NewYork,1,0.0,2016-03-25
#ametwi,1,0.0,2016-03-25
#mac,1,0.0,2016-03-25
#itinerary,1,0.7959,2016-03-25
#ClasificatoriasEEC,1,0.0,2016-03-25
#21,1,0.6486,2016-03-25
#INSANE24U,3,0.0,2016-03-25
#25,1,-0.2263,2016-03-25
#TBWORLD2016,1,0.4939,2016-03-25
#teamwoodbury,1,0.0,2016-03-25
#Memoria,1,0.0,2016-03-25
#live,1,0.0,2016-03-25
#Hearties,2,0.1716,2016-03-25
#JesusVive,5,0.36744000000000004,2016-03-25
#5sosFam,1,0.0,2016-03-25
#BreakingNews,1,0.6486,2016-03-25
#followdaibosyu,1,0.0,2016-03-25
#ShootYourShot2k16,1,0.1027,2016-03-25
#Lounge,1,0.0,2016-03-25
#TBLightning,1,0.0,2016-03-25
#vineyardvines,1,0.0,2016-03-25
#PrayForNigeria,2,0.33505,2016-03-25
#PreguntasIncomodas,2,0.0,2016-03-25
#Christian,1,-0.4215,2016-03-25
#Lavrov,1,0.0,2016-03-25
#IHeartAwards,2,0.0,2016-03-25
#gamedev,3,0.05103333333333334,2016-03-25
#FutureReady,1,0.4003,2016-03-25
#StateChamp,2,0.0,2016-03-25
#soukou_akki_muramasa,1,0.0,2016-03-25
#mothernatureknows,1,0.5859,2016-03-25
#FOSTER,1,-0.7378,2016-03-25
#salford,1,0.5267,2016-03-25
#OnWisconsin,1,0.8922,2016-03-25
#FUNTHJNGSGIVEAWAY,1,0.8588,2016-03-25
#Share,2,0.0,2016-03-25
#News,3,-0.07496666666666668,2016-03-25
#9oclockMixtape,1,0.0,2016-03-25
#heatlive,1,0.6808,2016-03-25
#Senator,1,0.3818,2016-03-25
#Acapulco,1,0.0,2016-03-25
#MindofMine,1,0.0,2016-03-25
#Parakeet,1,0.5859,2016-03-25
#Weekend,1,0.0,2016-03-25
#hq_anime,1,0.0,2016-03-25
#Shoko,1,0.0,2016-03-25
#SoundCloud,3,0.0,2016-03-25
#comentashow,1,0.0,2016-03-25
#teen,1,0.296,2016-03-25
#newtprmusic,1,0.0,2016-03-25
#ctto,1,-0.5335,2016-03-25
#Uptownfunk,1,0.5106,2016-03-25
#FelizLunes,1,0.0,2016-03-25
#islamIsTheProblem,1,-0.6166,2016-03-25
#Devils,1,0.34,2016-03-25
#CitiesFromSpace,1,0.0,2016-03-25
#online,1,0.0,2016-03-25
#spoileralert,1,0.0,2016-03-25
#SNRTG,1,0.0,2016-03-25
#kacangphool,1,0.0,2016-03-25
#neednoms,1,0.0,2016-03-25
#nsfw,1,0.2732,2016-03-25
#JohanCruyff,1,0.0,2016-03-25
#Project10x,1,0.0,2016-03-25
#TYLERPOSEYISOURBABY,1,0.0,2016-03-25
#bdsm,1,0.2732,2016-03-25
#senorfrogs,1,0.0,2016-03-25
#BikeLife,1,0.0,2016-03-25
#Hardcore,1,0.0,2016-03-25
#MH17,1,0.2247,2016-03-25
#NotDoneYet,3,0.04890000000000002,2016-03-25
#BlackTwitterTheBestTwitterSeason2,1,0.0,2016-03-25
#OsVirtuaisAnonimosSdv,1,0.0,2016-03-25
#bkstglawsuit,1,-0.2732,2016-03-25
#SomosModa,1,0.0,2016-03-25
#WoodenAward,1,0.0,2016-03-25
#pics,1,0.0,2016-03-25
#NewsPicks,1,0.0,2016-03-25
#AmexCarrabbas,1,-0.0772,2016-03-25
#ver4,2,0.0,2016-03-25
#foradunga,1,0.0,2016-03-25
#anal,1,-0.4926,2016-03-25
#finlitmove,1,0.0,2016-03-25
#SiyaKeRam,1,0.0,2016-03-25
#GoodFriday,3,-0.006566666666666683,2016-03-25
#OnePlus3,3,0.0,2016-03-25
#success,1,0.0,2016-03-25
#LigaNacional,1,0.0,2016-03-25
#RedCOTC,1,0.0,2016-03-25
#verified,1,0.765,2016-03-25
#blacksaturday,1,0.0,2016-03-25
#portada,1,0.0,2016-03-25
#GoHoos,1,-0.1901,2016-03-25
#JaneOineza,1,0.6361,2016-03-25
#LeeMinHo,1,0.0,2016-03-25
#BikeGang,1,0.0,2016-03-25
#ebay,1,0.5423,2016-03-25
#MemeableMoment,6,0.033716666666666666,2016-03-25
#indiegame,1,0.0,2016-03-25
#love,3,0.3925666666666667,2016-03-25
#askbelieber,2,0.5319,2016-03-25
#drifters,1,0.0,2016-03-25
#OsVirtuaisAnonimos,1,0.0,2016-03-25
#doittuitt,1,0.4215,2016-03-25
#ojitoslindos,1,0.0,2016-03-25
#Smule,1,0.0,2016-03-25
#KCON2016ABUDHABI,1,0.0,2016-03-25
#Monsantos,1,0.0,2016-03-25
#CIEL3,1,0.0,2016-03-25
#StopChildAbuse2016,1,0.5994,2016-03-25
#BIG,1,0.7192,2016-03-25
#trans,1,0.296,2016-03-25
#stream,1,0.0,2016-03-25
#TreCru,1,0.658,2016-03-25
#FOLLOWBACK,2,0.6289,2016-03-25
#ych,1,0.0,2016-03-25
#Anal,2,0.0,2016-03-25
#Hello,53,0.10912641509433965,2016-03-25
#silver,1,0.0,2016-03-25
